trip_duration_sec,trip_duration_min,trip_duration_hr,distance_traveled_Km,KPH,wait_time_cost,distance_cost,fare_w_flag,tip,miscellaneous_fees,total_fare_new,num_of_passengers,surge_applied
748,12.47,0.207833333,2.75,13.23175621,4.97,4.27,11.94,24,6.3,42.24,1,FALSE
1187,19.78,0.329666667,3.43,10.40444894,7.89,5.33,15.92,24,13.2,53.12,1,FALSE
730,12.17,0.202833333,3.12,15.3820871,4.85,4.85,12.4,0,26.63,39.03,1,TRUE
671,11.18,0.186333333,5.63,30.21466905,4.46,8.75,15.91,0,9.75,25.66,3,FALSE
134,2.23,3.72E-02,1.48,39.8206278,0.89,2.3,5.89,0,6,11.89,1,FALSE
355,5.92,9.87E-02,1.74,17.63513514,2.36,2.7,7.76,0,26.63,34.39,1,TRUE
453,7.55,0.125833333,2.22,17.64238411,3.01,3.45,9.16,0,6,15.16,1,FALSE
1288,21.47,0.357833333,5.21,14.55985095,8.56,8.09,19.35,36,26.33,81.68,1,TRUE
134,2.23,3.72E-02,1.48,39.8206278,0.89,2.3,5.89,0,6,11.89,1,FALSE
980,16.33,0.272166667,3.48,12.78628291,6.52,5.41,14.63,0,6,20.63,1,FALSE
328,5.47,0.091166667,2.16,23.6928702,2.18,3.36,8.24,15,26.7,49.94,1,TRUE
1537,25.62,0.427,7.64,17.89227166,10.22,11.87,24.79,14,26.42,65.21,1,TRUE
305,5.08,8.47E-02,2.04,24.09448819,2.03,3.17,7.9,0,9.75,17.65,1,FALSE
234,3.9,6.50E-02,1.61,24.76923077,1.56,2.5,6.76,0,26.63,33.39,1,TRUE
1537,25.62,0.427,7.64,17.89227166,10.22,11.87,24.79,14,26.42,65.21,1,TRUE
4059,67.65,1.1275,30,26.6075388,,46.6,76.29,0,55.13,131.42,1,FALSE
530,8.83,0.147166667,2.43,16.51189128,3.52,3.77,9.99,0,9.75,19.74,1,FALSE
319,5.32,8.87E-02,1.67,18.83458647,2.12,2.59,7.41,0,26.63,34.04,1,TRUE
1537,25.62,0.427,7.64,17.89227166,10.22,,24.79,14,,65.21,1,TRUE
375,6.25,0.104166667,1.45,13.92,2.49,2.25,7.44,24,33.83,65.27,1,TRUE
586,9.77,0.162833333,2.57,15.78300921,3.9,3.99,10.59,0,26.63,37.22,1,TRUE
357,5.95,9.92E-02,1.43,14.42016807,2.37,2.22,7.29,0,2.25,9.54,1,FALSE
1617,26.95,0.449166667,3.23,7.19109462,10.75,5.02,18.47,8,26.13,52.6,6,TRUE
1163,19.38,0.323,5.62,17.3993808,7.73,8.73,19.16,0,13.5,32.66,1,FALSE
1059,17.65,0.294166667,5.39,18.32294618,7.04,8.37,18.11,0,6,24.11,1,FALSE
